subject,class_id,class_name,kind,superclass_present,semantic_text,method_count,annotation_count,interface_count,truncated_method_count,input_hash,experiment_name,representation_id,stage3a_source_path,stage3a_source_file_sha256,stage3a_declaration_hash,declaration_exact_match,declaration_token_count,raw_body_candidate_count,filtered_body_token_count_before_budget,appended_body_token_count,body_model_token_count,total_token_count,body_tokens_truncated,declaration_truncated,body_empty,extracted_concrete_method_count,normalized_method_count,synthetic_method_count,generated_code_status,accepted_invoked_method_tokens,accepted_field_tokens,accepted_local_tokens,accepted_exception_tokens,accepted_operation_tokens,accepted_string_tokens,accepted_literals,rejected_token_count,body_hash
xerces-j,org.apache.xerces.dom.ASDOMImplementationImpl,ASDOMImplementationImpl,class,true,"[DECLARATION]
public class ASDOMImplementationImpl extends DOMImplementationImpl implements DOMImplementationAS {
    ASModel createAS(boolean);
    DOMASBuilder createDOMASBuilder();
    DOMASWriter createDOMASWriter();
    DOMImplementation getDOMImplementation();
}
[METHOD_BODY]
create invoke singleton invoke create domas builder domas writer dom exception not supported err dom implementation singleton
",4,0,1,0,8c626a126fb0091c02ec5d76f3e688809d01eff83b77178266f2456756a637b9,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,7eb08569cb6c35d043be338c87f802c8a82fcdd8114e7d11658aa934cca9150d,true,48,24,17,17,19,76,0,false,false,6,6,0,not_detected,9,2,0,4,10,3,1,50,e3f38df25ac68cb4b520b983abb1c010f0445cdf8aa12607b0460baec0efd774
xerces-j,org.apache.xerces.dom.ASModelImpl,ASModelImpl,class,false,"[DECLARATION]
public class ASModelImpl implements ASModel {
    void addASModel(ASModel);
    ASObject cloneASObject(boolean);
    ASAttributeDeclaration createASAttributeDeclaration(String, String);
    ASContentModel createASContentModel(int, int, short);
    ASElementDeclaration createASElementDeclaration(String, String);
    ASEntityDeclaration createASEntityDeclaration(String);
    ASNotationDeclaration createASNotationDeclaration(String, String, String, String);
    ASObjectList getASModels();
    String getAsHint();
    String getAsLocation();
    short getAsNodeType();
    ASNamedObjectMap getAttributeDeclarations();
    boolean getContainer();
    ASNamedObjectMap getContentModelDeclarations();
    ASNamedObjectMap getElementDeclarations();
    ASNamedObjectMap getEntityDeclarations();
    SchemaGrammar getGrammar();
    Vector getInternalASModels();
    boolean getIsNamespaceAware();
    String getLocalName();
    String getNamespaceURI();
    String getNodeName();
    ASNamedObjectMap getNotationDeclarations();
    ASModel getOwnerASModel();
    String getPrefix();
    short getUsageLocation();
    void importASObject(ASObject);
    void insertASObject(ASObject);
    void removeAS(ASModel);
    void setAsHint(String);
    void setAsLocation(String);
    void setGrammar(SchemaGrammar);
    void setLocalName(String);
    void setNamespaceURI(String);
    void setNodeName(String);
    void setOwnerASModel(ASModel);
    void setPrefix(String);
    boolean validate();
}
[METHOD_BODY]
invoke create namespace aware grammar models invoke create namespace aware grammar models add model element clone object dom exception not supported err attribute declaration dom exception not supported err content model s2 element declaration entity notation hint location node type attribute declarations container branch jump content declarations entity internal name uri node name notation owner prefix usage location object insert remove hint uri owner prefix validate
",38,0,1,0,b6a43edd683c0de8793551a587146fa5f2c7798726f0728c26d86d26e5e10b6a,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,ca6058b24723802a65e47757a35fadf73fc14185b279f5cb25cdf6aa38b3f02f,true,319,269,66,66,67,395,0,false,false,40,40,0,not_detected,72,18,1,124,104,93,31,823,8b7447f6d2f80bb33d3674af160317b11a9c25386b4aad93937f05148d696e93
xerces-j,org.apache.xerces.dom.AttrImpl,AttrImpl,class,true,"[DECLARATION]
public class AttrImpl extends NodeImpl implements Attr, TypeInfo {
    void checkNormalizationAfterInsert(ChildNode);
    void checkNormalizationAfterRemove(ChildNode);
    Node cloneNode(boolean);
    NodeList getChildNodes();
    Element getElement();
    Node getFirstChild();
    Node getLastChild();
    int getLength();
    String getName();
    String getNodeName();
    short getNodeType();
    String getNodeValue();
    Element getOwnerElement();
    TypeInfo getSchemaTypeInfo();
    boolean getSpecified();
    String getTypeName();
    String getTypeNamespace();
    String getValue();
    boolean hasChildNodes();
    Node insertBefore(Node, Node);
    Node internalInsertBefore(Node, Node, boolean);
    Node internalRemoveChild(Node, boolean);
    boolean isDerivedFrom(String, String, int);
    boolean isEqualNode(Node);
    boolean isId();
    Node item(int);
    ChildNode lastChild();
    void lastChild(ChildNode);
    void makeChildNode();
    void normalize();
    void readObject(ObjectInputStream);
    Node removeChild(Node);
    void rename(String);
    Node replaceChild(Node, Node);
    void setIdAttribute(boolean);
    void setNodeValue(String);
    void setOwnerDocument(CoreDocumentImpl);
    void setReadOnly(boolean, boolean);
    void setSpecified(boolean);
    void setType(Object);
    void setValue(String);
    void synchronizeChildren();
    String toString();
    void writeObject(ObjectOutputStream);
}
[METHOD_BODY]
invoke value has string value invoke name check normalization after insert normalized branch jump next sibling s0 s2 s1 check normalization after remove normalized branch jump next sibling s0 s1 clone node specified child nodes synchronize children element owned owner node first child make last length name synchronize data data type owner element owned schema type info specified namespace string create has nodes insert before internal internal before create error checking previous dom exception hierarchy request err wrong document not found remove error checking previous dom exception not found err derived equal id attribute item last make normalize s2 read object needs sync children rename replace replaced id attribute document read only put identifier needs sync write object
",44,0,2,0,0a0e90245f0289d143febb5930cbf5c0626b62dede68cce3c6c14a0911ddd903,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,f304a71c2aa6e66bff48299c94b28538521f73199b44fce01d6c34f2ebc1dedf,true,288,1147,118,118,124,421,0,false,false,46,46,0,not_detected,152,166,36,40,522,21,7,2469,cf3a23ff4f32af9d512bf6f219bb10d2ad744acf7e60381511075b03199a6084
xerces-j,org.apache.xerces.dom.AttrNSImpl,AttrNSImpl,class,true,"[DECLARATION]
public class AttrNSImpl extends AttrImpl {
    String getLocalName();
    String getNamespaceURI();
    String getPrefix();
    String getTypeName();
    String getTypeNamespace();
    boolean isDerivedFrom(String, String, int);
    void rename(String, String);
    void setName(String, String);
    void setPrefix(String);
}
[METHOD_BODY]
invoke invoke name name namespace uri synchronize data branch jump namespace uri synchronize data branch jump prefix type type derived dom rename check domns err create error checking xmlns dom exception prefix string create error checking exception invalid character err xmlns xml
",9,0,0,0,7b239a27ca426a3225c87365df89f013a2332505f83ba99af6b255b11f2fa471,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,8c93ad3b01daf545ad180559bdf72bb26e2ad6cf4393aaa4c2f4eb3627b52ff9,true,68,293,42,42,43,120,0,false,false,13,13,0,not_detected,27,58,8,28,155,26,16,750,37a06105820dd6bcd41a9c5a927995338a32c26815819ac41ad78427fbd8c2d3
xerces-j,org.apache.xerces.dom.AttributeMap,AttributeMap,class,true,"[DECLARATION]
public class AttributeMap extends NamedNodeMapImpl {
    int addItem(Node);
    void cloneContent(NamedNodeMapImpl);
    NamedNodeMapImpl cloneMap(NodeImpl);
    Node internalRemoveNamedItem(String, boolean);
    Node internalRemoveNamedItemNS(String, String, boolean);
    void moveSpecifiedAttributes(AttributeMap);
    void reconcileDefaults(NamedNodeMapImpl);
    Node remove(AttrImpl, int, boolean);
    Node removeItem(Node, boolean);
    Node removeNamedItem(String);
    Node removeNamedItemNS(String, String);
    Node safeRemoveNamedItem(String);
    Node safeRemoveNamedItemNS(String, String);
    Node setNamedItem(Node);
    Node setNamedItemNS(Node);
}
[METHOD_BODY]
has defaults invoke branch jump nodes add item attr node invoke branch jump create owner nodes clone content create owner node clone map content internal remove named item dom exception not found err internal remove named ns removed attr error checking namespace uri dom exception not found err move specified attributes reconcile defaults removed namespace uri ns safe safe normalized error checking wrong document hierarchy request inuse attribute s0 normalized wrong document hierarchy request inuse attribute s0
",15,0,0,0,2f8a6a7d08010502821b5ab09c2508685fba9704c905768fb4c639526d5406b2,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,f8c72c64c0b1aa48147c849247a3da68b418ad60b3ad6d95c65f83cfa73347bb,true,148,727,77,77,81,238,0,false,false,16,16,0,not_detected,81,162,11,52,366,27,9,1866,5ea09347666b21bb1623ff920b7f5f9cad043e2358276c9785e66efd57a1221d
xerces-j,org.apache.xerces.dom.CDATASectionImpl,CDATASectionImpl,class,true,"[DECLARATION]
public class CDATASectionImpl extends TextImpl implements CDATASection {
    String getNodeName();
    short getNodeType();
}
[METHOD_BODY]
invoke node name section node type
",2,0,1,0,d3db0dc3c8cf4f173fc539d3c44653218aafcfa2c0a4ae6b5e1cdb58fed35801,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,2944b67e8504fc19387bba868babc7b140c5c1a6b469c1df65564c67366faa18,true,25,6,6,6,6,40,0,false,false,3,3,0,not_detected,4,0,0,0,1,1,1,16,9e99421d3f8b93c3020a1fda383fe0246a6357b9174d6d8bbb40617a4202b6d1
xerces-j,org.apache.xerces.dom.CharacterDataImpl,CharacterDataImpl,abstract class,true,"[DECLARATION]
public abstract class CharacterDataImpl extends ChildNode {
    void appendData(String);
    void deleteData(int, int);
    NodeList getChildNodes();
    String getData();
    int getLength();
    String getNodeValue();
    void insertData(int, String);
    void internalDeleteData(int, int, boolean);
    void internalInsertData(int, String, boolean);
    void replaceData(int, int, String);
    void setData(String);
    void setNodeValue(String);
    void setNodeValueInternal(String);
    void setNodeValueInternal(String, boolean);
    String substringData(int, int);
}
[METHOD_BODY]
create invoke singleton node list invoke data append data node value branch jump create dom exception delete internal child nodes singleton list synchronize branch jump length value synchronize insert internal delete error checking dom exception index size err insert error checking index size err replace replaced character replaced text modified character substring
",15,0,0,0,63eb6b6568c12631af7a5c8a31c9b1912b87537c6d8c34badb17f9fc0101c0a1,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,ff0367dfc1934a12ca4e927ad13e842901c04a5661c1067c27a6974c88f52a0c,true,122,270,52,52,52,183,0,false,false,18,18,0,not_detected,58,35,2,36,157,18,6,754,519fff02f9bb977e2cbdcd9e86ca1e7e401118f755234bbac877e2b3d2c4ce61
xerces-j,org.apache.xerces.dom.CharacterDataImpl$1,CharacterDataImpl$1,class,false,"[DECLARATION]
class CharacterDataImpl$1 implements NodeList {
    int getLength();
    Node item(int);
}
[METHOD_BODY]
invoke length item
",2,0,1,0,edf74317d277a9c34790f8cf7c78c1971f831b93089cb98e2230d1086067e2dd,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,e7ceb8aed12d83507ec1ee331d0d740b7c99f924386c42c8e80ae9ea72e7ac08,true,20,6,3,3,3,32,0,false,false,3,3,0,not_detected,2,0,0,0,1,0,0,14,38d8c65f2f263c3f9a7f653f3b9e6aef11f6ff153f72c00988cb0b1418c30e37
xerces-j,org.apache.xerces.dom.ChildNode,ChildNode,abstract class,true,"[DECLARATION]
public abstract class ChildNode extends NodeImpl {
    Node cloneNode(boolean);
    Node getNextSibling();
    Node getParentNode();
    Node getPreviousSibling();
    NodeImpl parentNode();
    ChildNode previousSibling();
}
[METHOD_BODY]
invoke invoke clone node first child previous sibling next next sibling parent node branch jump owner previous branch jump parent owner
",6,0,0,0,d995ade5c12e9ba155f5ea80a43f89069d79775f61f716d4e8f3f89ef6587a37,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,f2c7f4a273af34c0e898de56519219ad17ea72ee7d7957d9c524ad1d9a615349,true,43,76,21,21,21,73,0,false,false,8,8,0,not_detected,18,18,0,0,20,0,0,153,c73a53152996b1ad2b8695b7cf51e16e2fc190831560c72e8d05f9dc1bdd5a0e
xerces-j,org.apache.xerces.dom.CommentImpl,CommentImpl,class,true,"[DECLARATION]
public class CommentImpl extends CharacterDataImpl implements CharacterData, Comment {
    String getNodeName();
    short getNodeType();
}
[METHOD_BODY]
invoke node name node type
",2,0,2,0,18ee2662f8fdf172f59d0624258ceac04d610d3322833e26edb7b491f348881e,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,c419d2c7f9564311549e07592a606f27abe4d4efcfef3fa33612ab438a786d66,true,25,6,5,5,5,39,0,false,false,3,3,0,not_detected,4,0,0,0,1,0,0,17,6ab443a71c421ccbfec121ddef1ddb54b41157de274cf67082ea19bb1d739e38
