path,status,reason,replacement
"results/stage3/subjects/<subject>/declaration_method_body/{validation,formal}/seed_*/{selected_solution.json,selected_partition.csv}",CURRENT_RAW_PROVENANCE,immutable runtime output recording the historical maximum-modularity selection,not replaced; cite only as historical runtime provenance
"results/stage3/subjects/<subject>/declaration_method_body/{validation,formal}/seed_*/{pareto_front_4d.csv,projected_front_3d.csv,posthoc_metrics.csv,partition_labels.csv}",CURRENT_RAW_PROVENANCE,frozen candidate populations and metrics consumed by current post-processing,not replaced
results/stage3/cross_subject/formal_statistics/formal_selected_fsemantic_per_seed.csv,SUPERSEDED_MAXQ_REPORTING,Stage 3 selected values use historical runtime maximum-modularity selections,results/stage3/cross_subject/operating_preference_analysis/04_selected_profiles_per_seed.csv
results/stage3/cross_subject/formal_statistics/formal_partition_similarity_*.csv,SUPERSEDED_MAXQ_REPORTING,selected-partition comparisons use historical runtime selections,results/stage3/cross_subject/operating_preference_analysis/08_stage2_stage3_same_preference.csv
results/stage3/cross_subject/formal_statistics/formal_statistical_tests.csv,SUPERSEDED_MAXQ_REPORTING,"projected-HV rows remain valid, but selected-f_semantic rows use MAX-Q Stage 3 selection",results/stage3/cross_subject/operating_preference_analysis/09_balance_primary_statistics.csv
docs/stage3/findings/chapter4_3_data_pack.md,SUPERSEDED_MAXQ_REPORTING,historical Chapter-facing data pack describes runtime MAX-Q selections,results/stage3/cross_subject/operating_preference_analysis/14_validation_report.md
results/stage3/cross_subject/stage2_comparison/,SUPERSEDED_MAXQ_REPORTING,selected-solution columns read historical Stage 3 runtime selection,results/stage3/cross_subject/operating_preference_analysis/08_stage2_stage3_same_preference.csv
results/stage3/cross_subject/preference_analysis/,SUPERSEDED_MAXQ_REPORTING,older semantic-preference response used MAX-Q Stage 3 baseline and a different budget reference,results/stage3/cross_subject/operating_preference_analysis/06_preference_partition_similarity.csv and 07_preference_metric_deltas.csv
results/stage3/cross_subject/selector_5pct_canonical/,SUPERSEDED_5PCT_TIE_DEFECT,temporary BALANCE-only correction did not snap machine-level paired ties,results/stage3/cross_subject/operating_preference_analysis/
reports/figures/data/cross_stage/cross_stage_partition_similarity.csv,SUPERSEDED_MAXQ_REPORTING,selector-dependent cross-stage figure data predates the final BALANCE reporting contract,results/stage3/cross_subject/operating_preference_analysis/16_figure_balance_cross_stage.csv
results/stage3/final_dissertation_data_export/,LEGACY_UNKNOWN,anticipated stale export path is not present at the source HEAD,results/stage3/cross_subject/operating_preference_analysis/
results/stage3/cross_subject/stage2_comparison/paired_per_seed.csv,CURRENT_SELECTOR_INDEPENDENT,projected-front Hypervolume is independent of representative-solution selection,not replaced; copied by reference into 09 and 12
results/stage3/cross_subject/operating_preference_analysis/,NEW_AUTHORITATIVE,final unified five-profile derived reporting layer,authoritative selector-dependent reporting bundle
