claim,exact_wording,scientific_status,availability_caveat,structural_cost_caveat,provenance_status,reproducibility_status,thesis_location,reason
Stage 2 A/B/C/D mechanism,The retained-front mechanism counts are reported for Stage 2.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,post-hoc diagnostic; not a preregistered confirmatory endpoint,audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,post-hoc diagnostic; not a preregistered confirmatory endpoint
JPetStore 2.5% balance result,The saved-front 2.5% balance profile reports attainable relative imbalance improvement with realised Q loss.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,conditional availability and retained-front limitation,audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,conditional availability and retained-front limitation
JPetStore 5% 100% result,JPetStore reaches 100% relative imbalance gain in selected 5% rows.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,relative zero-imbalance result needs structural-cost caveat,audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,relative zero-imbalance result needs structural-cost caveat
DayTrader 5% conditional balance result,DayTrader 5% balance results are conditional on an eligible saved candidate.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,availability varies by stage and seed,audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,availability varies by stage and seed
Xerces 5% balance result,Xerces 5% balance results are descriptive retained-front capability summaries.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,conditional availability and no causal claim,audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,conditional availability and no causal claim
Stage 3A semantic 5% result,Stage 3A native semantic profiles are reported at 5% budget.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,post-hoc and native-graph descriptive result,audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,post-hoc and native-graph descriptive result
Stage 3B semantic 5% result,Stage 3B native semantic profiles are reported at 5% budget.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,post-hoc and native-graph descriptive result,audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,post-hoc and native-graph descriptive result
reverse-target results,Reverse balance and semantic targets describe required realised Q loss when attainable.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,target availability is often incomplete,audited against saved sources,subject to clean-regeneration result,appendix only,target availability is often incomplete
knee results,Knee profiles are distance-to-ideal sensitivity diagnostics.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,normalisation/profile selected post-hoc,audited against saved sources,subject to clean-regeneration result,appendix only,normalisation/profile selected post-hoc
extreme results,Extreme profiles show retained-front capability bounds.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,not deployment recommendations,audited against saved sources,subject to clean-regeneration result,appendix only,not deployment recommendations
DayTrader external metrics,DayTrader external metrics are evaluated post-hoc against the complete frozen reference.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,"JPetStore/Xerces are unavailable, not zero",audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,"JPetStore/Xerces are unavailable, not zero"
MoJoFM authoritative mean,DayTrader Stage 2 saved-partition MoJoFM mean is 23.550724637681.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,secondary external metric; evaluator/reference provenance is explicit,audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,secondary external metric; evaluator/reference provenance is explicit
stability results,Cross-seed ARI/NMI stability is reported for saved profiles.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,profile availability and seed pairing must be stated,audited against saved sources,subject to clean-regeneration result,eligible for exploratory discussion,profile availability and seed pairing must be stated
marginal exchange rates,Budget interval exchange rates describe sensitivity across the fixed grid.,post-hoc exploratory,state eligible/unavailable seed counts for conditional summaries,not a universal sweet spot or engineering threshold,audited against saved sources,subject to clean-regeneration result,appendix only,not a universal sweet spot or engineering threshold
