subject,stage,baseline_profile,alternative_profile,n_pairs,delta_definition,analysis_status,median_delta_weighted_modularity,median_delta_coupling,median_delta_cohesion,median_delta_imbalance,median_delta_f_semantic,median_delta_cluster_count,direction_note
jpetstore,stage2,BALANCE,COUPLING,30,alternative minus BALANCE,DESCRIPTIVE,0.014333180917542931,-0.022222222222222254,0.57738095238095166,0.20412414523193148,0.0046600126341314052,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
jpetstore,stage2,BALANCE,COHESION,30,alternative minus BALANCE,DESCRIPTIVE,0.0041792409693643118,0.044444444444444453,4.7604761904761901,0.44487826050130463,0.022792365770834988,1,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
jpetstore,stage2,BALANCE,SEMANTIC,30,alternative minus BALANCE,DESCRIPTIVE,0.0093187014174668237,-0.022222222222222254,0.069047619047618802,0.16666666666666666,-0.041930995567666107,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
jpetstore,stage3,BALANCE,COUPLING,30,alternative minus BALANCE,DESCRIPTIVE,0.0050144795000761078,-0.0061728395061728392,0.50833333333333286,0.086273015034173547,0,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
jpetstore,stage3,BALANCE,COHESION,30,alternative minus BALANCE,DESCRIPTIVE,-0.0054229538180154968,0.060493827160493813,3.8223809523809531,0.2405790892623515,-0.00049903756791191967,1,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
jpetstore,stage3,BALANCE,SEMANTIC,30,alternative minus BALANCE,DESCRIPTIVE,0,0,0.14821428571428585,0.054107264792171102,-0.041329801189602444,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
daytrader,stage2,BALANCE,COUPLING,30,alternative minus BALANCE,DESCRIPTIVE,0,0,0,0,0,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
daytrader,stage2,BALANCE,COHESION,30,alternative minus BALANCE,DESCRIPTIVE,0,0,0,0,0,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
daytrader,stage2,BALANCE,SEMANTIC,30,alternative minus BALANCE,DESCRIPTIVE,0,0,0,0,0,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
daytrader,stage3,BALANCE,COUPLING,30,alternative minus BALANCE,DESCRIPTIVE,0,0,0,0,0,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
daytrader,stage3,BALANCE,COHESION,30,alternative minus BALANCE,DESCRIPTIVE,0,0,0,0,0,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
daytrader,stage3,BALANCE,SEMANTIC,30,alternative minus BALANCE,DESCRIPTIVE,0,0,0,0,0,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
xerces,stage2,BALANCE,COUPLING,30,alternative minus BALANCE,DESCRIPTIVE,0.026437011681853806,-0.029345794392523356,-0.081328799302228916,0.084922655338283914,-0.02740349162539496,2,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
xerces,stage2,BALANCE,COHESION,30,alternative minus BALANCE,DESCRIPTIVE,0.0086162123665505241,-0.0096908698777857655,0.061588424775145256,0.013405330664154169,-0.0049738657671786202,0,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
xerces,stage2,BALANCE,SEMANTIC,30,alternative minus BALANCE,DESCRIPTIVE,0.026437011681853806,-0.029302659956865554,0.027104053889659419,0.082162752039113274,-0.02740349162539496,2,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
xerces,stage3,BALANCE,COUPLING,30,alternative minus BALANCE,DESCRIPTIVE,0.024341944956820849,-0.028138030194104963,5.6890165236742076,0.094790930331059231,-0.026025779944414296,2,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
xerces,stage3,BALANCE,COHESION,30,alternative minus BALANCE,DESCRIPTIVE,0.010920666645646726,-0.012868439971243706,5.7165464684153076,0.033903219255567385,-0.011756388501370396,1,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
xerces,stage3,BALANCE,SEMANTIC,30,alternative minus BALANCE,DESCRIPTIVE,0.023435368686755442,-0.027649173256649895,5.6890165236742076,0.085310565946101868,-0.026696907588730667,2,"positive delta means alternative has higher value; higher is favourable only for weighted_modularity and cohesion, lower is favourable for coupling, imbalance, and f_semantic; cluster_count has no quality direction"
