subject,class_id,stage3a_neighbours,stage3b_neighbours,retained_neighbour_count,neighbour_retention,stage3a_degree,stage3b_degree,degree_change,body_empty,body_tokens_truncated,body_token_count,embedding_shift_cosine_distance
jpetstore,org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Order|org.mybatis.jpetstore.domain.Category|org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Order|org.mybatis.jpetstore.service.AccountService|org.mybatis.jpetstore.domain.Category,2,0.6666666666666666,3,3,0,false,0,45,0.19584024280300005
jpetstore,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem|org.mybatis.jpetstore.domain.Order|org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.CartItem|org.mybatis.jpetstore.web.actions.CartActionBean|org.mybatis.jpetstore.domain.Order,2,0.6666666666666666,3,3,0,false,0,37,0.22498306366499998
jpetstore,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Cart|org.mybatis.jpetstore.domain.LineItem|org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.LineItem|org.mybatis.jpetstore.domain.Cart|org.mybatis.jpetstore.domain.Item,3,1.0,4,3,-1,false,0,13,0.17910856643399997
jpetstore,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Product|org.mybatis.jpetstore.domain.Account|org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Product|org.mybatis.jpetstore.domain.Account|org.mybatis.jpetstore.mapper.CategoryMapper,2,0.6666666666666666,4,4,0,false,0,12,0.263372438953
jpetstore,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.LineItem|org.mybatis.jpetstore.domain.CartItem|org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.LineItem|org.mybatis.jpetstore.domain.Product|org.mybatis.jpetstore.domain.CartItem,3,1.0,6,3,-3,false,0,37,0.23642303016400001
jpetstore,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem|org.mybatis.jpetstore.domain.Item|org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.CartItem|org.mybatis.jpetstore.domain.Order|org.mybatis.jpetstore.domain.Item,3,1.0,3,3,0,false,0,22,0.16431549979500004
jpetstore,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem|org.mybatis.jpetstore.domain.Cart|org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.LineItem|org.mybatis.jpetstore.service.OrderService|org.mybatis.jpetstore.domain.Cart,2,0.6666666666666666,4,4,0,false,0,67,0.133646668071
jpetstore,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Category|org.mybatis.jpetstore.domain.Item|org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Category|org.mybatis.jpetstore.domain.Item|org.mybatis.jpetstore.mapper.ProductMapper,2,0.6666666666666666,5,3,-2,false,0,14,0.293945466449
jpetstore,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.SequenceMapper|org.mybatis.jpetstore.domain.Category|org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.SequenceMapper|org.mybatis.jpetstore.domain.Category|org.mybatis.jpetstore.service.OrderService,2,0.6666666666666666,3,3,0,false,0,8,0.22816728471900005
jpetstore,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.service.AccountService|org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.service.AccountService|org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.mapper.CategoryMapper,3,1.0,5,4,-1,true,0,0,0.19164953321099998
